# train_loss,val_loss
2.971624769270420074e-02,2.076718024909496307e-03
4.784288350492715836e-03,1.834123861044645309e-03
3.350061364471912384e-03,1.464337809011340141e-03
2.702860394492745399e-03,1.387075521051883698e-03
2.261711284518241882e-03,1.266642706468701363e-03
1.893339911475777626e-03,1.135637983679771423e-03
1.625569188036024570e-03,1.052449224516749382e-03
1.431740820407867432e-03,1.070703612640500069e-03
1.267156912945210934e-03,1.178979757241904736e-03
1.195701886899769306e-03,9.230927098542451859e-04
1.037730951793491840e-03,9.126515942625701427e-04
9.710039594210684299e-04,8.958081598393619061e-04
9.208896663039922714e-04,9.494715486653149128e-04
8.848819998092949390e-04,8.311331621371209621e-04
8.466998115181922913e-04,1.565214945003390312e-03
8.956631645560264587e-04,7.846005610190331936e-04
8.112508221529424191e-04,7.793026161380112171e-04
7.978822686709463596e-04,7.704118033871054649e-04
7.894035079516470432e-04,8.054850623011589050e-04
8.024550625123083591e-04,7.387016084976494312e-04
7.598261581733822823e-04,7.635536603629589081e-04
7.593507179990410805e-04,7.387580117210745811e-04
7.475995807908475399e-04,9.807888418436050415e-04
7.597389630973339081e-04,7.222632411867380142e-04
7.547933491878211498e-04,7.557462085969746113e-04
7.323255413211882114e-04,9.180816123262047768e-04
7.598901866003870964e-04,7.344867917709052563e-04
7.313567912206053734e-04,6.838365225121378899e-04
7.276879041455686092e-04,6.875065155327320099e-04
7.106438861228525639e-04,6.624495727010071278e-04
7.056236499920487404e-04,7.671627099625766277e-04
7.046326645649969578e-04,6.434724782593548298e-04
7.126007112674415112e-04,6.816040258854627609e-04
6.842407747171819210e-04,7.348767830990254879e-04
7.001244812272489071e-04,6.463002646341919899e-04
6.754457717761397362e-04,6.312052137218415737e-04
6.925428169779479504e-04,7.049019914120435715e-04
6.924662156961858273e-04,6.644242675974965096e-04
6.904871552251279354e-04,6.595402956008911133e-04
