# train_loss,val_loss
1.188123300671577454e-01,3.993912041187286377e-02
5.481579527258872986e-02,3.805213049054145813e-02
3.981042653322219849e-02,3.520855214446783066e-03
1.543942373245954514e-02,2.639047568663954735e-03
1.270474772900342941e-02,2.576963277533650398e-03
1.068567018955945969e-02,2.260679844766855240e-03
9.286958724260330200e-03,2.138637471944093704e-03
8.293366990983486176e-03,1.823466969653964043e-03
7.791976910084486008e-03,1.997365383431315422e-03
7.074773777276277542e-03,1.855921233072876930e-03
6.390858441591262817e-03,1.707703690044581890e-03
6.131172180175781250e-03,1.754091121256351471e-03
5.854394286870956421e-03,1.709910808131098747e-03
5.426089745014905930e-03,1.607514219358563423e-03
5.239068996161222458e-03,1.548056374303996563e-03
5.164824891835451126e-03,1.504552084952592850e-03
4.593556281179189682e-03,1.460791099816560745e-03
4.585743881762027740e-03,1.541593112051486969e-03
4.356101620942354202e-03,1.438659499399363995e-03
4.282287787646055222e-03,1.533632399514317513e-03
4.164409823715686798e-03,1.407600590027868748e-03
3.979152999818325043e-03,1.391479978337883949e-03
3.812629031017422676e-03,1.470757299102842808e-03
3.661066293716430664e-03,1.349363476037979126e-03
3.643955569714307785e-03,1.370221027173101902e-03
3.559492994099855423e-03,1.330038532614707947e-03
3.490662667900323868e-03,1.311306841671466827e-03
3.298070048913359642e-03,1.345511176623404026e-03
3.114131977781653404e-03,1.264467020519077778e-03
3.080877708271145821e-03,1.249479246325790882e-03
3.009085543453693390e-03,1.445007976144552231e-03
2.935195807367563248e-03,1.291769673116505146e-03
2.870964352041482925e-03,1.250068889930844307e-03
2.810814883559942245e-03,1.246041269041597843e-03
2.754891291260719299e-03,1.262872829101979733e-03
2.578096464276313782e-03,1.283224206417798996e-03
2.568911062553524971e-03,1.137225655838847160e-03
2.516983309760689735e-03,1.173822209239006042e-03
2.556850435212254524e-03,1.118153450079262257e-03
2.365819178521633148e-03,1.084555988200008869e-03
2.328643575310707092e-03,1.154051045887172222e-03
2.296868944540619850e-03,1.061343587934970856e-03
2.240125555545091629e-03,1.082748174667358398e-03
2.153215464204549789e-03,1.097712549380958080e-03
2.072081668302416801e-03,1.028263010084629059e-03
2.094149822369217873e-03,9.963428601622581482e-04
1.990210264921188354e-03,1.127537572756409645e-03
1.936425687745213509e-03,1.016260706819593906e-03
1.854171860031783581e-03,9.801689302548766136e-04
1.786344102583825588e-03,9.445935720577836037e-04
1.771998126059770584e-03,9.550679242238402367e-04
1.772436196915805340e-03,9.159672772511839867e-04
1.751790638081729412e-03,9.188343537971377373e-04
1.736846403218805790e-03,9.050824446603655815e-04
1.689684111624956131e-03,9.778337553143501282e-04
1.595170237123966217e-03,8.865833515301346779e-04
1.637903391383588314e-03,9.013976086862385273e-04
1.576258335262537003e-03,9.236753685399889946e-04
1.546703162603080273e-03,9.626302635297179222e-04
1.574302557855844498e-03,1.005325582809746265e-03
1.520421705208718777e-03,8.632823009975254536e-04
1.494005555287003517e-03,8.578288834542036057e-04
1.453940873034298420e-03,8.423305698670446873e-04
1.419603824615478516e-03,8.423866820521652699e-04
1.401993795298039913e-03,9.281294187530875206e-04
1.424741698428988457e-03,8.993714582175016403e-04
1.383140217512845993e-03,8.674162090755999088e-04
1.313900691457092762e-03,8.966746390797197819e-04
1.314397552050650120e-03,8.174813701771199703e-04
1.291029504500329494e-03,8.206119528040289879e-04
1.271607121452689171e-03,8.125482127070426941e-04
1.240894780494272709e-03,7.956413901410996914e-04
1.262512872926890850e-03,8.477338706143200397e-04
1.234143041074275970e-03,1.057078945450484753e-03
1.278314506635069847e-03,8.726624655537307262e-04
1.228839741088449955e-03,8.804897079244256020e-04
1.223591156303882599e-03,7.949940627440810204e-04
1.175522920675575733e-03,7.705116877332329750e-04
1.136532286182045937e-03,7.982818060554563999e-04
1.136836130172014236e-03,7.838369347155094147e-04
1.134742517024278641e-03,7.540254737250506878e-04
1.121124485507607460e-03,7.489316049031913280e-04
1.132722944021224976e-03,8.103558793663978577e-04
1.073566148988902569e-03,7.312780362553894520e-04
1.092394231818616390e-03,7.299559074454009533e-04
1.072985702194273472e-03,7.517848862335085869e-04
1.063080504536628723e-03,7.227758178487420082e-04
1.046359189786016941e-03,7.367704529315233231e-04
1.063852105289697647e-03,7.229369366541504860e-04
1.030699349939823151e-03,7.090271101333200932e-04
1.032094238325953484e-03,7.074053282849490643e-04
1.027046586386859417e-03,7.059373892843723297e-04
1.011004089377820492e-03,7.005711086094379425e-04
1.010378240607678890e-03,7.003366481512784958e-04
9.991113329306244850e-04,7.222568383440375328e-04
1.016225549392402172e-03,6.935560377314686775e-04
9.931098902598023415e-04,7.201753323897719383e-04
9.984795469790697098e-04,7.121267844922840595e-04
9.779850952327251434e-04,6.902368040755391121e-04
9.583261562511324883e-04,6.906648632138967514e-04
9.813207434490323067e-04,7.520961225964128971e-04
9.926852071657776833e-04,7.132808095775544643e-04
9.712441824376583099e-04,6.725417915731668472e-04
9.820022387430071831e-04,7.374357664957642555e-04
9.981149341911077499e-04,7.806298672221601009e-04
