# train_loss,val_loss
2.725257873535156250e-01,2.350651770830154419e-01
2.094338983297348022e-01,1.727902293205261230e-01
1.556603312492370605e-01,1.217943355441093445e-01
1.163881421089172363e-01,8.238968253135681152e-02
9.623812884092330933e-02,6.061361357569694519e-02
8.162016421556472778e-02,5.021425336599349976e-02
7.206351310014724731e-02,4.333727061748504639e-02
6.317226588726043701e-02,4.052064940333366394e-02
6.066817045211791992e-02,3.994116932153701782e-02
5.667558684945106506e-02,3.966511413455009460e-02
5.439797788858413696e-02,3.944563865661621094e-02
5.102360248565673828e-02,2.593630366027355194e-02
3.745813667774200439e-02,9.179852902889251709e-03
2.778973244130611420e-02,3.900206182152032852e-03
2.518692053854465485e-02,3.382335649803280830e-03
2.382727712392807007e-02,3.892868058755993843e-03
2.315583266317844391e-02,3.932308405637741089e-03
2.206896059215068817e-02,3.204147331416606903e-03
2.204348333179950714e-02,2.698370488360524178e-03
1.961211115121841431e-02,2.882051281630992889e-03
2.006873115897178650e-02,2.928420668467879295e-03
1.831458508968353271e-02,2.803466282784938812e-03
1.864357851445674896e-02,2.783579286187887192e-03
1.783263310790061951e-02,2.445989521220326424e-03
1.790635846555233002e-02,2.544731600210070610e-03
1.592380180954933167e-02,2.499299356713891029e-03
1.719906739890575409e-02,2.182011492550373077e-03
1.612744666635990143e-02,2.082474296912550926e-03
1.530983764678239822e-02,2.283668611198663712e-03
1.530854869633913040e-02,2.569179516285657883e-03
1.589419320225715637e-02,2.258375519886612892e-03
1.326406560838222504e-02,2.163738710805773735e-03
1.336190383881330490e-02,1.949782948940992355e-03
1.519880257546901703e-02,1.775286393240094185e-03
1.492077205330133438e-02,1.691653393208980560e-03
1.330522261559963226e-02,1.958425156772136688e-03
1.393759902566671371e-02,2.259365981444716454e-03
