# train_loss,val_loss
8.381606101989746094e+00,8.316213607788085938e+00
8.280670166015625000e+00,8.243295669555664062e+00
8.212895393371582031e+00,8.178305625915527344e+00
8.148026466369628906e+00,8.113670349121093750e+00
8.083500862121582031e+00,8.049343109130859375e+00
8.019309997558593750e+00,7.985384464263916016e+00
7.955492973327636719e+00,7.921798229217529297e+00
7.892036914825439453e+00,7.858583450317382812e+00
7.828952789306640625e+00,7.795739650726318359e+00
7.766233921051025391e+00,7.733254432678222656e+00
7.703878402709960938e+00,7.671127796173095703e+00
7.641890525817871094e+00,7.609372615814208984e+00
7.580258846282958984e+00,7.547977447509765625e+00
7.518990039825439453e+00,7.486936569213867188e+00
7.458066463470458984e+00,7.426232337951660156e+00
7.397500038146972656e+00,7.365876674652099609e+00
7.337261676788330078e+00,7.305868148803710938e+00
7.277368068695068359e+00,7.246196746826171875e+00
7.217810153961181641e+00,7.186841964721679688e+00
7.158570766448974609e+00,7.127810001373291016e+00
7.099664688110351562e+00,7.069104194641113281e+00
7.041075229644775391e+00,7.010726928710937500e+00
6.982792854309082031e+00,6.952641010284423828e+00
6.924823284149169922e+00,6.894866943359375000e+00
6.867158889770507812e+00,6.837399482727050781e+00
6.809797286987304688e+00,6.780231475830078125e+00
6.752730369567871094e+00,6.723342895507812500e+00
6.695947170257568359e+00,6.666764736175537109e+00
6.639464855194091797e+00,6.610460281372070312e+00
6.583257675170898438e+00,6.554423332214355469e+00
6.527334213256835938e+00,6.498681068420410156e+00
6.471683025360107422e+00,6.443217277526855469e+00
6.416306018829345703e+00,6.387998104095458984e+00
6.361194610595703125e+00,6.333064079284667969e+00
6.306345939636230469e+00,6.278383731842041016e+00
6.251761913299560547e+00,6.223966121673583984e+00
6.197439193725585938e+00,6.169814586639404297e+00
6.143362522125244141e+00,6.115887641906738281e+00
6.089541912078857422e+00,6.062230110168457031e+00
6.035968303680419922e+00,6.008821010589599609e+00
5.982641220092773438e+00,5.955641269683837891e+00
5.929559707641601562e+00,5.902707576751708984e+00
5.876708030700683594e+00,5.850026130676269531e+00
5.824101448059082031e+00,5.797554492950439453e+00
5.771722793579101562e+00,5.745326995849609375e+00
5.719577312469482422e+00,5.693330764770507812e+00
5.667664051055908203e+00,5.641560077667236328e+00
5.615976810455322266e+00,5.590017318725585938e+00
5.564515590667724609e+00,5.538696289062500000e+00
5.513275623321533203e+00,5.487595081329345703e+00
5.462259769439697266e+00,5.436715602874755859e+00
5.411458015441894531e+00,5.386051177978515625e+00
5.360877513885498047e+00,5.335609912872314453e+00
5.310508728027343750e+00,5.285372257232666016e+00
5.260356426239013672e+00,5.235355377197265625e+00
5.210417270660400391e+00,5.185550689697265625e+00
5.160687446594238281e+00,5.135955810546875000e+00
5.111168861389160156e+00,5.086568355560302734e+00
5.061862468719482422e+00,5.037392616271972656e+00
5.012764453887939453e+00,4.988425731658935547e+00
4.963871955871582031e+00,4.939661026000976562e+00
4.915186405181884766e+00,4.891106605529785156e+00
4.866709709167480469e+00,4.842757701873779297e+00
4.818438053131103516e+00,4.794617652893066406e+00
4.770374298095703125e+00,4.746680736541748047e+00
4.722514629364013672e+00,4.698953151702880859e+00
4.674862384796142578e+00,4.651430130004882812e+00
4.627417087554931641e+00,4.604108333587646484e+00
4.580179214477539062e+00,4.557000637054443359e+00
4.533142089843750000e+00,4.510095596313476562e+00
4.486316680908203125e+00,4.463399410247802734e+00
4.439698696136474609e+00,4.416917324066162109e+00
4.393290042877197266e+00,4.370635986328125000e+00
4.347090721130371094e+00,4.324565410614013672e+00
4.301101684570312500e+00,4.278713226318359375e+00
4.255325317382812500e+00,4.233063220977783203e+00
4.209759712219238281e+00,4.187635421752929688e+00
4.164411067962646484e+00,4.142421245574951172e+00
4.119277477264404297e+00,4.097427368164062500e+00
4.074362754821777344e+00,4.052648544311523438e+00
4.029664516448974609e+00,4.008084774017333984e+00
3.985189914703369141e+00,3.963749885559082031e+00
3.940938711166381836e+00,3.919635534286499023e+00
3.896907567977905273e+00,3.875752449035644531e+00
3.853110313415527344e+00,3.832098960876464844e+00
3.809539079666137695e+00,3.788667678833007812e+00
3.766200065612792969e+00,3.745477676391601562e+00
3.723095655441284180e+00,3.702523231506347656e+00
3.680230379104614258e+00,3.659808874130249023e+00
3.637602090835571289e+00,3.617328405380249023e+00
3.595216989517211914e+00,3.575097084045410156e+00
3.553078651428222656e+00,3.533112764358520508e+00
3.511188507080078125e+00,3.491384029388427734e+00
3.469544649124145508e+00,3.449896574020385742e+00
3.428159236907958984e+00,3.408669948577880859e+00
3.387029647827148438e+00,3.367702007293701172e+00
3.346158266067504883e+00,3.327001094818115234e+00
3.305557966232299805e+00,3.286564826965332031e+00
3.265212774276733398e+00,3.246388435363769531e+00
3.225148916244506836e+00,3.206492900848388672e+00
3.185350656509399414e+00,3.166867733001708984e+00
3.145829200744628906e+00,3.127527236938476562e+00
3.106589317321777344e+00,3.088461399078369141e+00
3.067631721496582031e+00,3.049683570861816406e+00
3.028960466384887695e+00,3.011192083358764648e+00
2.990581750869750977e+00,2.972998142242431641e+00
2.952491760253906250e+00,2.935094594955444336e+00
2.914701223373413086e+00,2.897487401962280273e+00
2.877209186553955078e+00,2.860189914703369141e+00
2.840018987655639648e+00,2.823191165924072266e+00
2.803134679794311523e+00,2.786500215530395508e+00
2.766561985015869141e+00,2.750122785568237305e+00
2.730299472808837891e+00,2.714059114456176758e+00
2.694351434707641602e+00,2.678314447402954102e+00
2.658725738525390625e+00,2.642883062362670898e+00
2.623415231704711914e+00,2.607778310775756836e+00
2.588431358337402344e+00,2.572999000549316406e+00
2.553773403167724609e+00,2.538546800613403320e+00
2.519444227218627930e+00,2.504425287246704102e+00
2.485448360443115234e+00,2.470638036727905273e+00
2.451785564422607422e+00,2.437186717987060547e+00
2.418457269668579102e+00,2.404071092605590820e+00
2.385471582412719727e+00,2.371297121047973633e+00
2.352823495864868164e+00,2.338866949081420898e+00
2.320523977279663086e+00,2.306774854660034180e+00
2.288557052612304688e+00,2.275032281875610352e+00
2.256943464279174805e+00,2.243633031845092773e+00
2.225678205490112305e+00,2.212582111358642578e+00
2.194758892059326172e+00,2.181889295578002930e+00
2.164193868637084961e+00,2.151535749435424805e+00
2.133974313735961914e+00,2.121538400650024414e+00
2.104112148284912109e+00,2.091896772384643555e+00
2.074602842330932617e+00,2.062610864639282227e+00
2.045444965362548828e+00,2.033668041229248047e+00
2.016642570495605469e+00,2.005089998245239258e+00
1.988198637962341309e+00,1.976863980293273926e+00
1.960103392601013184e+00,1.948992013931274414e+00
1.932368993759155273e+00,1.921480059623718262e+00
1.904982924461364746e+00,1.894312024116516113e+00
1.877956390380859375e+00,1.867504596710205078e+00
1.851282358169555664e+00,1.841049790382385254e+00
1.824957847595214844e+00,1.814946889877319336e+00
1.798995375633239746e+00,1.789198040962219238e+00
1.773380756378173828e+00,1.763801217079162598e+00
1.748116493225097656e+00,1.738770127296447754e+00
1.723200917243957520e+00,1.714058279991149902e+00
1.698634386062622070e+00,1.689715623855590820e+00
1.674415469169616699e+00,1.665703177452087402e+00
1.650539398193359375e+00,1.642046928405761719e+00
1.627011418342590332e+00,1.618727207183837891e+00
1.603826284408569336e+00,1.595752120018005371e+00
1.580980062484741211e+00,1.573119640350341797e+00
1.558474183082580566e+00,1.550817966461181641e+00
1.536301255226135254e+00,1.528851747512817383e+00
1.514463782310485840e+00,1.507224082946777344e+00
1.492962241172790527e+00,1.485917687416076660e+00
1.471781253814697266e+00,1.464943528175354004e+00
1.450930833816528320e+00,1.444292187690734863e+00
1.430402636528015137e+00,1.423963308334350586e+00
1.410199642181396484e+00,1.403953552246093750e+00
1.390309691429138184e+00,1.384259939193725586e+00
1.370738148689270020e+00,1.364882826805114746e+00
1.351480960845947266e+00,1.345812678337097168e+00
1.332533001899719238e+00,1.327052474021911621e+00
1.313889384269714355e+00,1.308593392372131348e+00
1.295550107955932617e+00,1.290453433990478516e+00
1.277502179145812988e+00,1.272577762603759766e+00
1.259758114814758301e+00,1.255021691322326660e+00
1.242311358451843262e+00,1.237738847732543945e+00
1.225145936012268066e+00,1.220754623413085938e+00
1.208266139030456543e+00,1.204056501388549805e+00
1.191674351692199707e+00,1.187631726264953613e+00
1.175362825393676758e+00,1.171491146087646484e+00
1.159324288368225098e+00,1.155619263648986816e+00
1.143559694290161133e+00,1.140016436576843262e+00
1.128061771392822266e+00,1.124688982963562012e+00
1.112831473350524902e+00,1.109613895416259766e+00
1.097862005233764648e+00,1.094802737236022949e+00
1.083150386810302734e+00,1.080249667167663574e+00
1.068691849708557129e+00,1.065944790840148926e+00
1.054485440254211426e+00,1.051889777183532715e+00
1.040528297424316406e+00,1.038080096244812012e+00
1.026811122894287109e+00,1.024511218070983887e+00
1.013334512710571289e+00,1.011185884475708008e+00
1.000104427337646484e+00,9.980822801589965820e-01
9.870946407318115234e-01,9.852284789085388184e-01
9.743145704269409180e-01,9.725786447525024414e-01
9.617689251899719238e-01,9.601656198501586914e-01
9.494256377220153809e-01,9.479656815528869629e-01
9.373236894607543945e-01,9.359869360923767090e-01
9.254269599914550781e-01,9.242153763771057129e-01
9.137296676635742188e-01,9.126701354980468750e-01
9.022542238235473633e-01,9.013053774833679199e-01
8.909813165664672852e-01,8.901560306549072266e-01
8.799121975898742676e-01,8.792065978050231934e-01
8.690381050109863281e-01,8.684511780738830566e-01
8.583529591560363770e-01,8.578886389732360840e-01
8.478671312332153320e-01,8.475173711776733398e-01
8.375650048255920410e-01,8.373296856880187988e-01
8.274485468864440918e-01,8.273235559463500977e-01
8.165298700332641602e-01,8.115264773368835449e-01
8.029630184173583984e-01,8.021684885025024414e-01
