# train_loss,val_loss
6.051934242248535156e+00,3.995718955993652344e+00
2.502609968185424805e+00,1.351990342140197754e+00
8.378344774246215820e-01,5.147200822830200195e-01
3.984858989715576172e-01,3.159739077091217041e-01
2.940145432949066162e-01,2.741216123104095459e-01
2.557088434696197510e-01,2.390669584274291992e-01
2.239431738853454590e-01,2.105598896741867065e-01
1.985713243484497070e-01,1.882073432207107544e-01
1.789435744285583496e-01,1.711647808551788330e-01
1.641739457845687866e-01,1.584951132535934448e-01
1.533421874046325684e-01,1.493399590253829956e-01
1.456007808446884155e-01,1.429119259119033813e-01
1.402316838502883911e-01,1.385073065757751465e-01
1.354888677597045898e-01,1.150759905576705933e-01
1.131245866417884827e-01,1.123230606317520142e-01
1.118584945797920227e-01,1.118976473808288574e-01
8.929641544818878174e-02,6.856092065572738647e-02
6.830715388059616089e-02,6.844618171453475952e-02
6.825574487447738647e-02,6.832610070705413818e-02
6.823229044675827026e-02,6.829002499580383301e-02
6.821776181459426880e-02,6.828922033309936523e-02
6.820209324359893799e-02,6.825386732816696167e-02
6.818848848342895508e-02,6.825572997331619263e-02
6.817863881587982178e-02,6.829003244638442993e-02
6.816539168357849121e-02,6.829654425382614136e-02
6.815112382173538208e-02,6.820227205753326416e-02
6.812623888254165649e-02,6.818617135286331177e-02
6.811727583408355713e-02,6.816304475069046021e-02
6.808605790138244629e-02,6.812857091426849365e-02
6.401840597391128540e-02,4.689112678170204163e-02
4.639670252799987793e-02,4.631354287266731262e-02
4.626257345080375671e-02,4.617901518940925598e-02
4.613441228866577148e-02,4.609621316194534302e-02
4.593403264880180359e-02,4.586437344551086426e-02
4.552466049790382385e-02,4.515247046947479248e-02
4.423332586884498596e-02,4.279242828488349915e-02
3.538406640291213989e-02,2.813918888568878174e-02
2.824836596846580505e-02,2.824469842016696930e-02
2.825000509619712830e-02,2.813178487122058868e-02
2.823278680443763733e-02,2.813384123146533966e-02
2.822939679026603699e-02,2.811408229172229767e-02
2.821819670498371124e-02,2.810094319283962250e-02
2.819930203258991241e-02,2.809063345193862915e-02
1.292939949780702591e-02,1.952274818904697895e-03
2.068130066618323326e-03,2.027862705290317535e-03
2.035073470324277878e-03,1.858988427557051182e-03
1.992689212784171104e-03,1.823719358071684837e-03
1.965454313904047012e-03,1.803124556317925453e-03
1.939070411026477814e-03,1.804191386327147484e-03
1.924167270772159100e-03,1.799204852432012558e-03
1.908057369291782379e-03,1.749205286614596844e-03
1.895999652333557606e-03,1.771897659637033939e-03
1.884770696051418781e-03,1.727203372865915298e-03
1.884017256088554859e-03,1.744595821946859360e-03
1.879920251667499542e-03,1.738237682729959488e-03
1.858126954175531864e-03,1.719433581456542015e-03
1.860087504610419273e-03,1.697025611065328121e-03
1.842631958425045013e-03,1.779422047547996044e-03
1.848976127803325653e-03,1.693264814093708992e-03
1.827883883379399776e-03,1.696586026810109615e-03
1.828641747124493122e-03,1.769606722518801689e-03
1.828834298066794872e-03,1.677213236689567566e-03
1.808667904697358608e-03,1.696698018349707127e-03
1.806908287107944489e-03,1.678890781477093697e-03
1.801216509193181992e-03,1.688840799033641815e-03
1.801067730411887169e-03,1.692201592959463596e-03
1.800279482267796993e-03,1.665009185671806335e-03
1.787770655937492847e-03,1.800607424229383469e-03
1.783078187145292759e-03,1.669749966822564602e-03
1.777546014636754990e-03,1.707970281131565571e-03
1.778050325810909271e-03,1.682280679233372211e-03
1.779987360350787640e-03,1.700596185401082039e-03
1.769035356119275093e-03,1.685513532720506191e-03
1.768637564964592457e-03,1.696710009127855301e-03
1.765495864674448967e-03,1.645183423534035683e-03
1.759846694767475128e-03,1.652264269068837166e-03
1.753680524416267872e-03,1.661929883994162083e-03
1.752692041918635368e-03,1.718746032565832138e-03
1.754160504788160324e-03,1.709370524622499943e-03
1.746436581015586853e-03,1.655517844483256340e-03
1.742684515193104744e-03,1.686069997958838940e-03
1.742813270539045334e-03,1.700344844721257687e-03
1.738339080475270748e-03,1.710501965135335922e-03
1.737066078931093216e-03,1.744054839946329594e-03
1.726387068629264832e-03,1.661978545598685741e-03
1.728374743834137917e-03,1.651584869250655174e-03
1.720150816254317760e-03,1.735843601636588573e-03
1.735644182190299034e-03,1.645035808905959129e-03
1.715479651466012001e-03,1.672110403887927532e-03
1.711455057375133038e-03,1.682789064943790436e-03
1.705670729279518127e-03,1.656016916967928410e-03
1.703571528196334839e-03,1.681664027273654938e-03
1.698415144346654415e-03,1.621748087927699089e-03
1.701166154816746712e-03,1.652151462621986866e-03
1.696802326478064060e-03,1.650792197324335575e-03
1.691171317361295223e-03,1.625601085834205151e-03
1.686087460257112980e-03,1.720339292660355568e-03
1.690634991973638535e-03,1.649030600674450397e-03
1.676985062658786774e-03,1.704583875834941864e-03
1.678524655289947987e-03,1.640327856875956059e-03
1.676593557931482792e-03,1.607868820428848267e-03
1.673788647167384624e-03,1.616495545022189617e-03
1.669752993620932102e-03,1.712901866994798183e-03
1.671139267273247242e-03,1.619015820324420929e-03
