# train_loss,val_loss
2.172735035419464111e-01,1.963143795728683472e-01
1.969525218009948730e-01,1.891897171735763550e-01
1.955207437276840210e-01,1.903211176395416260e-01
1.943049430847167969e-01,1.880214363336563110e-01
1.932380795478820801e-01,1.881596744060516357e-01
1.933377683162689209e-01,1.878571510314941406e-01
1.929246038198471069e-01,1.875196844339370728e-01
1.927591264247894287e-01,1.875596940517425537e-01
1.927564293146133423e-01,1.874792873859405518e-01
1.926706135272979736e-01,1.873867660760879517e-01
1.926109492778778076e-01,1.873700022697448730e-01
1.925878971815109253e-01,1.873580962419509888e-01
1.925649493932723999e-01,1.873448491096496582e-01
1.925447732210159302e-01,1.873134076595306396e-01
1.925233155488967896e-01,1.872893869876861572e-01
1.925052851438522339e-01,1.872721612453460693e-01
1.924885064363479614e-01,1.872580945491790771e-01
1.924715340137481689e-01,1.872467994689941406e-01
1.924577057361602783e-01,1.872315853834152222e-01
1.924402117729187012e-01,1.872156262397766113e-01
1.924309581518173218e-01,1.872013509273529053e-01
1.924053132534027100e-01,1.871807724237442017e-01
1.923941224813461304e-01,1.871690005064010620e-01
1.923778653144836426e-01,1.871548444032669067e-01
1.923588961362838745e-01,1.871394515037536621e-01
1.923424005508422852e-01,1.871237903833389282e-01
1.923307329416275024e-01,1.871094107627868652e-01
1.923110634088516235e-01,1.870943307876586914e-01
1.923001408576965332e-01,1.870812922716140747e-01
1.922832429409027100e-01,1.870658993721008301e-01
1.922683268785476685e-01,1.870518475770950317e-01
1.922518908977508545e-01,1.870379447937011719e-01
1.922369897365570068e-01,1.870226860046386719e-01
1.922214627265930176e-01,1.870080828666687012e-01
1.922074705362319946e-01,1.869970262050628662e-01
1.921910047531127930e-01,1.869821995496749878e-01
1.921813637018203735e-01,1.869687587022781372e-01
1.921592801809310913e-01,1.869535446166992188e-01
1.921440958976745605e-01,1.869409978389739990e-01
1.921326816082000732e-01,1.869286298751831055e-01
1.921144276857376099e-01,1.869132220745086670e-01
1.921032965183258057e-01,1.869028657674789429e-01
1.920906752347946167e-01,1.868921518325805664e-01
1.920748502016067505e-01,1.868743747472763062e-01
1.920600980520248413e-01,1.868617981672286987e-01
1.920492798089981079e-01,1.868539750576019287e-01
1.920313686132431030e-01,1.868364512920379639e-01
1.920168548822402954e-01,1.866389065980911255e-01
1.838800013065338135e-01,1.643207967281341553e-01
1.674163937568664551e-01,1.576882302761077881e-01
1.526557654142379761e-01,1.375439763069152832e-01
1.414571702480316162e-01,1.389950364828109741e-01
1.415798515081405640e-01,1.362545639276504517e-01
1.395108848810195923e-01,1.353984624147415161e-01
1.391118168830871582e-01,1.351176202297210693e-01
1.388336867094039917e-01,1.349869519472122192e-01
1.387039422988891602e-01,1.349358707666397095e-01
1.385442614555358887e-01,1.347463279962539673e-01
1.384038329124450684e-01,1.346990168094635010e-01
1.384133398532867432e-01,1.346789598464965820e-01
1.383687406778335571e-01,1.346223056316375732e-01
1.383111029863357544e-01,1.346081197261810303e-01
1.383087933063507080e-01,1.346069574356079102e-01
1.382925659418106079e-01,1.345803141593933105e-01
1.382667422294616699e-01,1.345526278018951416e-01
1.382431536912918091e-01,1.345408558845520020e-01
1.382296383380889893e-01,1.345274299383163452e-01
1.382114440202713013e-01,1.345147043466567993e-01
1.381956338882446289e-01,1.345010548830032349e-01
1.381809562444686890e-01,1.344879716634750366e-01
1.381595134735107422e-01,1.344737261533737183e-01
1.381567567586898804e-01,1.344635635614395142e-01
1.381305456161499023e-01,1.344568431377410889e-01
1.381246000528335571e-01,1.344458758831024170e-01
1.381168216466903687e-01,1.344303488731384277e-01
