# train_loss,val_loss
1.790037751197814941e-01,1.408755034208297729e-01
1.113371923565864563e-01,8.378883451223373413e-02
6.668120622634887695e-02,4.410073906183242798e-02
3.645320609211921692e-02,3.413743898272514343e-02
3.434349223971366882e-02,3.346882387995719910e-02
3.235268965363502502e-02,3.199591860175132751e-02
3.173165395855903625e-02,3.190987929701805115e-02
3.154635056853294373e-02,3.162937611341476440e-02
3.129547461867332458e-02,3.145668655633926392e-02
3.115242905914783478e-02,3.134929016232490540e-02
3.102242387831211090e-02,3.122184798121452332e-02
3.089780732989311218e-02,3.112027607858181000e-02
3.080055303871631622e-02,3.103035502135753632e-02
3.067501634359359741e-02,3.093438595533370972e-02
3.059476613998413086e-02,3.081738948822021484e-02
3.047149628400802612e-02,3.076783008873462677e-02
3.036361746490001678e-02,3.064819797873497009e-02
3.026431053876876831e-02,3.054891526699066162e-02
3.019701316952705383e-02,3.047047182917594910e-02
3.009798936545848846e-02,3.042140416800975800e-02
3.001787140965461731e-02,3.032993711531162262e-02
2.992900833487510681e-02,3.026661090552806854e-02
2.987528778612613678e-02,3.020047210156917572e-02
2.980510704219341278e-02,3.014751709997653961e-02
2.972114831209182739e-02,3.009963594377040863e-02
2.965578064322471619e-02,3.007348813116550446e-02
2.959611266851425171e-02,2.999318204820156097e-02
2.954496629536151886e-02,2.994308061897754669e-02
2.952338196337223053e-02,2.994059957563877106e-02
2.959289588034152985e-02,2.993343397974967957e-02
2.938366867601871490e-02,2.985224872827529907e-02
2.933431603014469147e-02,2.978440001606941223e-02
2.931087091565132141e-02,2.975580655038356781e-02
2.928878739476203918e-02,2.991168946027755737e-02
2.920811995863914490e-02,2.971404232084751129e-02
2.919766679406166077e-02,2.966651692986488342e-02
2.921796403825283051e-02,2.972532249987125397e-02
2.912031114101409912e-02,2.961387671530246735e-02
2.907308004796504974e-02,2.969100885093212128e-02
2.904096618294715881e-02,2.957206033170223236e-02
2.903220430016517639e-02,2.959375828504562378e-02
2.901580184698104858e-02,2.951003611087799072e-02
2.898384816944599152e-02,2.956818975508213043e-02
2.888622879981994629e-02,2.946429885923862457e-02
2.889535203576087952e-02,2.960451692342758179e-02
2.891489304602146149e-02,2.964029461145401001e-02
2.885943092405796051e-02,2.942440658807754517e-02
2.878626808524131775e-02,2.938303537666797638e-02
2.874783426523208618e-02,2.935111708939075470e-02
2.869980223476886749e-02,2.935840561985969543e-02
2.871314994990825653e-02,2.931217104196548462e-02
2.869915589690208435e-02,2.930712886154651642e-02
2.860047295689582825e-02,2.926598861813545227e-02
2.859599515795707703e-02,2.927226573228836060e-02
2.859978750348091125e-02,2.925738506019115448e-02
2.852855063974857330e-02,2.927669510245323181e-02
2.856568060815334320e-02,2.919244579970836639e-02
2.847489900887012482e-02,2.924170345067977905e-02
2.853730879724025726e-02,2.916801534593105316e-02
2.846595831215381622e-02,2.915360778570175171e-02
2.838334627449512482e-02,2.914602123200893402e-02
2.839942649006843567e-02,2.923998609185218811e-02
2.835187315940856934e-02,2.908746525645256042e-02
2.830593101680278778e-02,2.911370061337947845e-02
2.828101068735122681e-02,2.907495945692062378e-02
2.835737168788909912e-02,2.904661372303962708e-02
2.832308411598205566e-02,2.925188839435577393e-02
2.827856689691543579e-02,2.909572049975395203e-02
2.826285734772682190e-02,2.910610660910606384e-02
2.823947556316852570e-02,2.901562303304672241e-02
2.822913788259029388e-02,2.901441417634487152e-02
2.815140411257743835e-02,2.912389487028121948e-02
2.817740105092525482e-02,2.904953807592391968e-02
2.816942147910594940e-02,2.904173359274864197e-02
2.813560143113136292e-02,2.897932566702365875e-02
2.810635603964328766e-02,2.905425056815147400e-02
2.814736030995845795e-02,2.896671742200851440e-02
2.808650396764278412e-02,2.893545664846897125e-02
2.807318605482578278e-02,2.893602661788463593e-02
2.805741690099239349e-02,2.895344235002994537e-02
2.806692197918891907e-02,2.902014553546905518e-02
2.805762924253940582e-02,2.895100787281990051e-02
2.802472189068794250e-02,2.892211452126502991e-02
2.805092185735702515e-02,2.892547845840454102e-02
2.802181802690029144e-02,2.890618145465850830e-02
2.800456434488296509e-02,2.890434302389621735e-02
2.805679664015769958e-02,2.891573682427406311e-02
2.806893922388553619e-02,2.897571399807929993e-02
2.811212837696075439e-02,2.901070378720760345e-02
2.809160947799682617e-02,2.896914444863796234e-02
2.799420058727264404e-02,2.889439277350902557e-02
2.798252739012241364e-02,2.895620092749595642e-02
2.799209579825401306e-02,2.890605479478836060e-02
2.799847535789012909e-02,2.889231964945793152e-02
2.801543287932872772e-02,2.900372073054313660e-02
2.799680456519126892e-02,2.888843044638633728e-02
2.798927389085292816e-02,2.889325097203254700e-02
